"Hotel / Accommodation name","Nom de l'hôtel / de l'hébergement"
"Address","Adresse"
"Arrival flight details","Date du vol d'arrivée"
"Arrival date","Compagnie aérienne"
"Est. Arrival time","Heure d'arrivée"
"Departing flight details","Détails du vol de départ"
"Departing date","Date de départ"
"Departure time","Heure de départ"
"Adult %s","Adult %s"
"Full name as in the passport","Nom complet tel qu’il apparait sur le passeport"
"Passport number","Numéro de passeport"
"Date of Birth","Date de naissance"
"Nationality","Nationalité"
"Gender","Sexe"
"Male","Mâle"
"Female","Femelle"
"Complete Order","Complétez la commande"
"Please complete your order.","S’il vous plaît complétez votre commande."
"The following information is required to complete order #%1. The details below are INDISPENSABLE to confirm your tours and issue your vouchers or tickets. The personal information requested, is a requirement of the local authorities; for this reason, the passenger is responsible for the accuracy of this information as well as for any errors or omissions in the data.","Les informations suivantes sont nécessaires pour finaliser la commande #%1. Les données ci-dessous sont INDISPENSABLES pour confirmer la commande et émettre vos bons ou vos tickets. Les informations personnelles sollicitées sont nécessaires en raison des exigences des autorités locales et par conséquent, le passager est responsable de la précision de ces dernières et de quelconque erreur ou oubli de données."
"Once you have completed all the requested information you will not be able to edit it. If you need help please","Une fois que vous avez complété toutes les informations sollicitées, elles ne pourront pas être changées. Si vous avez besoin d’aide, nous vous prions de"
"contact us","nous contacter"
"Confirmation","Confirmation"
"The information given in this form is true, complete and accurate and corresponds to my itinerary and/or travel documents.","Les informations remplies dans le formulaire sont correctes et correspondent à votre itinéraire et à vos documents de voyage."
"Cancel","Annuler"
"Send","Envoyer"
"Hi, %customer_name,","Bonjour, %customer_name,"
"Thanks for booking with %store_name.","Merci d’avoir choisi Daytours4u."
"You are one step away from having an unforgettable experience. You just need to fill out the form with the personal information required for each companion.","Vous êtes à une étape de vivre une expérience de voyage fantastique. Vous avez juste à remplir ce formulaire avec les informations personnelles nécessaires pour chaque accompagnant."
"This information is essential to confirm your reservation and send the corresponding vouchers or passages. The personal information requested, is a requirement of the local authorities; for this reason, the passenger is responsible for the accuracy of this information as well as for any errors or omissions in the data.","Ces informations sont indispensables pour confirmer votre réservation et envoyer les bons ou les billets correspondants. Les informations personnelles sollicitées sont nécessaires en raison des exigences des autorités locales et par conséquent, le passager est responsable de la précision de ces informations et de quelconque erreur ou oubli de données."
"Click here to complete your reservation.","Cliquez ici pour compléter votre réservation."
"If you already filled out the form after your purchase, in a maximum of 48 hours you will receive the vouchers of your trips.","Si vous avez déjà rempli le formulaire suite à votre achat, vous recevrez les bons de vos visites en maximum 48 heures."
"Questions? please contact our support team by replying to this email.","Questions? Contactez notre Service Client en répondant à ce mail."
"To fill out your data, please click here","Pour compléter vos données, cliquez ici."