"Hotel / Accommodation name","Nome do Hotel / Alojamento"
"Address","Endereço"
"Arrival flight details","Dados do vôo de chegada"
"Arrival date","Data de chegada"
"Est. Arrival time","Hora de chegada"
"Departing flight details","Dados do vôo de saída"
"Departing date","Data de saída"
"Departure time","Hora de partida"
"Adult %s","Adult %s"
"Full name as in the passport","Nome completo (como figura no passaporte)"
"Passport number","Número do passaporte"
"Date of Birth","Data de nascimento"
"Nationality","Nacionalidade"
"Gender","Gênero"
"Male","Masculino"
"Female","Fêmea"
"Complete Order","Complete o pedido"
"Please complete your order.","Por favor complete seu pedido."
"The following information is required to complete order #%1. The details below are INDISPENSABLE to confirm your tours and issue your vouchers or tickets. The personal information requested, is a requirement of the local authorities; for this reason, the passenger is responsible for the accuracy of this information as well as for any errors or omissions in the data.","As seguintes informações são necessárias para concluir o pedido #%1. Os dados requeridos abaixo são INDISPENSÁVEIS para confirmar seu pedido e emitir os vouchers ou bilhetes de seus passeios. As informações pessoais requeridas, são uma exigência das autoridades locais, portanto os passageiros são responsáveis da informação providenciada assim como de erros ou omissões nos dados."
"Once you have completed all the requested information you will not be able to edit it. If you need help please","Depois de ter concluído todas as informações solicitadas, você não poderá editá-los. Se precisar de ajuda, "
"contact us","entre em contato conosco"
"Confirmation","Confirmação"
"The information given in this form is true, complete and accurate and corresponds to my itinerary and/or travel documents.","As informações inseridas no formulário são verdadeiras e correspondem ao meu itinerário e/ou documentos de viagem."
"Cancel","Cancelar"
"Send","Enviar"
"Hi, %customer_name,","Oi, %customer_name,"
"Thanks for booking with %store_name.","Obrigado por reservar com Daytours4u."
"You are one step away from having an unforgettable experience. You just need to fill out the form with the personal information required for each companion.","Você está a um passo de viver uma fantástica experiência de viagem. Você só precisa preencher o formulário com as informações pessoais necessárias para cada acompanhante."
"This information is essential to confirm your reservation and send the corresponding vouchers or passages. The personal information requested, is a requirement of the local authorities; for this reason, the passenger is responsible for the accuracy of this information as well as for any errors or omissions in the data.","Esta informação é essencial para confirmar sua reserva e enviar os vales ou passagens correspondentes. As informações pessoais requeridas, são uma exigência das autoridades locais, portanto os passageiros são responsáveis da informação providenciada assim como de erros ou omissões nos dados."
"Click here to complete your reservation.","Clique aqui para completar sua reserva."
"If you already filled out the form after your purchase, in a maximum of 48 hours you will receive the vouchers of your trips.","Se você já preencheu o formulário após a sua compra, em um prazo máximo de 48 horas você receberá os comprovantes de suas viagens."
"Questions? please contact our support team by replying to this email.","Dúvidas? entre em contato conosco respondendo esse email."
"To fill out your data, please click here","Para preencher seus dados, por favor clique aqui"