;global 
"Check In","Check In"
"Check Out","Check Out"
"Done","Done"
"January","January"
"February","February"
"March","March"
"April","April"
"May","May"
"June","June"
"July","July"
"August","August"
"September","September"
"October","October"
"November","November"
"December","December"
"Jan","Jan"
"Feb","Feb"
"Mar","Mar"
"Apr","Apr"
"May","May"
"Jun","Jun"
"Jul","Jul"
"Aug","Aug"
"Sep","Sep"
"Oct","Oct"
"Nov","Nov"
"Dec","Dec"
"Sunday","Sunday"
"Monday","Monday"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thursday","Thursday"
"Friday","Friday"
"Saturday","Saturday"
"Sun","Sun"
"Mon","Mon"
"Tue","Tue"
"Wed","Wed"
"Thu","Thu"
"Fri","Fri"
"Sat","Sat"
"Su","Su"
"Mo","Mo"
"Tu","Tu"
"We","We"
"Th","Th"
"Fr","Fr"
"Sa","Sa"
"Prev","Prev"
"Next","Next"
"Today","Today"
;backend
"Description","Description"
"Room Type","Room Type"
"Max Child","Max Child"
"Max Adult","Max Adult"
"Edit","Edit"
"Delete","Delete"
"Setup Price","Setup Price"
"Close","Close"
"Room have been deleted success","Room have been deleted success"
"System are errors, Please check again!","System are errors, Please check again!"
"Save","Save"
"Basic Room Info","Basic Room Info"
"Room Pricing","Room Pricing"
"Room Facilities","Room Facilities"
"Room Photos","Room Photos"
"Room Discount","Room Discount"
"Addons & Cross-sells","Addons & Cross-sells"
"Disable","Disable"
"Max Adults","Max Adults"
"Max Children","Max Children"
"Minimum Days","Minimum Days"
"Maximum Days","Maximum Days"
"Position","Position"
"Input Type","Input Type"
"Drop Down","Drop Down"
"Is Required","Is Required"
"Yes","Yes"
"No","No"
"Price","Price"
"Max Number","Max Number"
"Title","Title"
"Use default value","Use default value"
"Add New Row","Add New Row"
"Delete Discount","Delete Discount"
"Discount Type","Discount Type"
"First moment","First moment"
"Length of reservation","Length of reservation"
"(booked nearest in )","(booked nearest in )"
"days","days"
"Sort Order","Sort Order"
"Amount Type","Amount Type"
"Amount","Amount"
"Max Items","Max Items"
"Priority","Priority"
"(booked at least far in)","(booked at least far in)"
"(Minimal Quantity is)","(Minimal Quantity is)"
"Session/day","Session/day"
"Check All","Check All"
"Rent","Rent"
"Hotel","Hotel"
"Booking Type","Booking Type"
"Daily","Daily"
"Hourly","Hourly"
"Hours Intervals","Hours Intervals"
"Service Start","Service Start"
"Service End","Service End"
"Fee Night","Fee Night"
"Minimum Hours","Minimum Hours"
"Maximum Hours","Maximum Hours"
"Booking Time Slot","Booking Time Slot"
"Booking time buffer","Booking time buffer"
"Show Time Finish","Show Time Finish"
"Show Qty Available","Show Qty Available"
"Booking Price for Rent","Booking Price for Rent"
"Addons & Cross-sells","Addons & Cross-sells"
"Discounts","Discounts"
"Add Room","Add Room"
"Booking Phone","Booking Phone"
"Booking Email","Booking Email"
"Booking Address","Booking Address"
"Booking City","Booking City"
"Zip Code","Zip Code"
"Country","Country"
"States","States"
"Zip Code","Zip Code"
"Fixed amount","Fixed amount"
"Percentage","Percentage"
"Condition","Condition"
"New Price","New Price"
"Default","Default"
"Data have been deleted","Data have been deleted"
"Start Date","Start Date"
"End Date","End Date"
"Available","Available"
"Special","Special"
"Block","Block"
"Unavailable","Unavailable"
"Special Price","Special Price"
"Default Value","Default Value"
"Update Item","Update Item"
"Add new Item","Add new Item"
"Please enter check in and check out","Please enter check in and check out"
"You are adding new pricing but that Item already in database. Please see list Items on top and edit that item.","You are adding new pricing but that Item already in database. Please see list Items on top and edit that item."
"Booking Calendar","Booking Calendar"
"Data have been saved success","Data have been saved success"
"Use font icon instead image thumbnail?","Use font icon instead image thumbnail?"
"Example: ","Example: "
"Input "fa-desktop" for","Input "fa-desktop" for"
"Input "im-pool" for","Input "im-pool" for"
"Fontawesome","Fontawesome"
"Icomoon","Icomoon"
"Booking Items","Booking Items"
"Info Customer Shipping","Info Customer Shipping"
"Info booking Item","Info booking Item"
"Hours Intervals","Hours Intervals"
"Service Start","Service Start"
"Service End","Service End"
"Total Days","Total Days"
"Qty","Qty"
"Create at","Create at"
"Total Price","Total Price"
"Welcome to","Welcome to"
"Booking System Pro","Booking System Pro"
"a Magento extension which can be used for any industries if you require rental/booking as a part of your service.","a Magento extension which can be used for any industries if you require rental/booking as a part of your service."
"Dashboard","Dashboard"
"Weekly Bestsellers","Weekly Bestsellers"
"Name","Name"
"Total Orders","Total Orders"
"Total Prices","Total Prices"
"Booking Orders","Booking Orders"
"Customers","Customers"
"Facilities","Facilities"
"Current Booking Status of ","Current Booking Status of "
"Select All Items","Select All Items"
"Detail Order","Detail Order"
"Pending","Pending"
"Success","Success"
"Canceled","Canceled"
"General","General"
"Status","Status"
"Image","Image"
"Booking system - Dashboard","Booking system - Dashboard"
"Manage Facilities","Manage Facilities"
"Manage Room Types","Manage Room Types"
"Booking system Pro - Booking Lists","Booking system Pro - Booking Lists"
"Booking System","Booking System"
"Manage Items","Manage Items"
"Add new Facility","Add new Facility"
"Add New Room Type","Add New Room Type"
"Booking Setting","Booking Setting"
"Update Booking","Update Booking"
"Please Enter Price","Please Enter Price"
"Please Enter Qty","Please Enter Qty"
;frontend
"Please wait...","Please wait..."
"Star Rating","Star Rating"
"5 star","5 star"
"4 star","4 star"
"3 star","3 star"
"2 star","2 star"
"1 star","1 star"
"Unrated","Unrated"
"Where are you going?","Where are you going?"
"Category","Category"
"Chose Category","Chose Category"
"Search","Search"
"Price range:","Price range:"
"Price [low to high]","Price [low to high]"
"Price [hight to low]","Price [hight to low]"
"Stars [5 to 1]","Stars [5 to 1]"
"Stars [1 to 5]","Stars [1 to 5]"
"Filter By:","Filter By:"
"Of","Of"
"reviews","reviews"
"Book Now","Book Now"
"Booking Not Found","Booking Not Found"
"Total Hours","Total Hours"
"Regular Price","Regular Price"
"Select Room Type","Select Room Type"
"Adults","Adults"
"Select Adults","Select Adults"
"Children","Children"
"Select Children","Select Children"
"You are booking %1 ","You are booking %1 "
"Select Options","Select Options"
"Available discount for checkout:","Available discount for checkout:"
"For reservations statring until %1 you get a %2 discount ","For reservations statring until %1 you get a %2 discount "
"For reservations stating after %1 you get a %2 discount ","For reservations stating after %1 you get a %2 discount "
"For reservations of more than %1 days you get a %2 discount ","For reservations of more than %1 days you get a %2 discount "
"for a maximum of %1 days","for a maximum of %1 days"
"Room Facilities","Room Facilities"
"Hotel Facilities","Hotel Facilities"
"Add","Add"
"Remove","Remove"
"Next","Next"
"Prev","Prev"
"Max","Max"
"Today's price","Today's price"
"Nr. rooms","Nr. rooms"
"Reservation","Reservation"
"Edit Booking","Edit Booking"
"Book Now","Book Now"
"Per Hour","Per Hour"
"Per Day","Per Day"
"AM","AM"
"PM","PM"
"Hours","Hours"
"Per Session","Per Session"
"Map","Map"
"You can not book previous day!","You can not book previous day!"
"Note : Minimum days are %1, You must pay money for %2 Days","Note : Minimum days are %1, You must pay money for %2 Days"
"Maximum days are %1, please check again","Maximum days are %1, please check again"
"Dates are not available. Please check again!","Dates are not available. Please check again!"
"Please Enter %1 value","Please Enter %1 value"
"You can not enter value lager %1 at option %2","You can not enter value lager %1 at option %2"
"Hour interval is not available, Please check again","Hour interval is not available, Please check again"
"Please check time, service start at %1 ","Please check time, service start at %1 "
"Please check time, service finish at %1 ","Please check time, service finish at %1 "
"Please check time, if you only book a day, You have to choose service finish time larger than service start time.","Please check time, if you only book a day, You have to choose service finish time larger than service start time."
"Note : Minimum Hours is %1 You must pay for %2 hours","Note : Minimum Hours is %1 You must pay for %s hours"
"Maximum Hours are %1, please check again!","Maximum Hours are %1, please check again!"
"We can't update shoping cart. Please check again","We can't update shoping cart. Please check again"
"You can't Checkout. Please check again","You can't Checkout. Please check again"
"Dates are not available. System is closed on %1","Dates are not available. System is closed on %1"
"Item not found","Item not found"
"For reservations of more than %1 %2 you get a %3 discount ","For reservations of more than %1 %2 you get a %3 discount "
"For reservations of more than %1 sessions you get a %2 discount ","For reservations of more than %1 sessions you get a %2 discount "
"From - To","From - To"