"-- Please Select --","Select",module,Magento_Catalog
"-- Please select --","Select",module,Magento_Catalog
"Welcome affiliated","Welcome affiliated"
"Thank you for joining our affiliate program!","Thank you for joining our affiliate program!"
"The whole process is super-easy. You place our ad on your website, blog, forum post, etc. or share coupon code. That's it. You will receive a commission for every purchase from your shared ad or coupon.","The whole process is super-easy. You place our ad on your website, blog, forum post, etc. or share coupon code. That's it. You will receive a commission for every purchase from your shared ad or coupon."
"Feel free to contact us if you have any questions.","Feel free to contact us if you have any questions."
"Hello","Hello"
"Your account status has been changed to","Your account status has been changed to"
"The transaction","The transaction"
"status has been changed to","status has been changed to"
"A new transaction","A new transaction"
"has been created.","has been created."
"Transaction status is changed","Transaction status is changed"
"Account status changed","Account status changed"
"New transaction is created","New transaction is created"
"Withdrawal status is changed","Withdrawal status is changed"
"Your withdrawal status has been changed to","Your withdrawal status has been changed to"
"Your account is disabled. Please contact us for details.","Your account is disabled. Please contact us for details."
"You are registered as Affiliate, please click on the button to modify your information.","You are registered as Affiliate, please click on the button to modify your information."
"Your account is pending for approve, please contact us.","Your account is pending for approve, please contact us."
"Click here to contact us","Click here to contact us"
"Thanks for register as Affiliate, your account is pending for approving, We will let you know when your account is actived.","Thanks for register as Affiliate, your account is pending for approving, We will let you know when your account is actived."
"Payment","Payment"
"Search Result for","Search Result for"
"Share whith yours friends:","Share whith yours friends:"
"Add to Cart","Book now"
"Activity in","Activity in"
"Activities in","Activities in"
"Activity","Activity"
"Activities","Activities"
"Please select a region, state or province.","Select"
"Country:","Country:"
"Phone:","Phone:"
"Address:","Address:"
"City:","City:"
"First Name:","First Name:"
"Last Name:","Last Name:"
"Name:","Name:"
"Your order <a class=""order-number"" href=""%1"">#%2</a> is in the process of confirmation.","Your order <a class=""order-number"" href=""%1"">#%2</a> is in the process of confirmation."
"Thank you %1 for your purchase.","Thank you %1 for your purchase."
"Your order #%1 is in the process of confirmation.","Your order #%1 is in the process of confirmation."
"We are happy that you have chosen to discover South America with us!","We are happy that you have chosen to discover South America with us!"
"If all the information requested for your activity(ies) is complete, you will receive another confirmation e-mail with the voucher within the next 48 hours.","If all the information requested for your activity(ies) is complete, you will receive another confirmation e-mail with the voucher within the next 48 hours."
"Enjoy your experience!","Enjoy your experience!"
"Don't miss our travel tips. Read here.","Don't miss our travel tips. Read here."
"Your booking(s):","Your booking(s):"
"See details","See details"
"Subtotal","Subtotal"
"Get in touch","Get in touch"
"Our local and experienced support team will assist you from 8am. to 7pm. (GMT-3)","Our local and experienced support team will assist you from 8am. to 7pm. (GMT-3)"
"Phone","Phone"
"Follow us","Follow us"
"You are receiving this email because you expressed interest in Daytours4u.com updates","You are receiving this email because you expressed interest in Daytours4u.com updates"
"Unsuscribe newsletter","Unsuscribe newsletter"
"Update subscription preferences","Update subscription preferences"
"© Daytours4u 2018. All rights reserved","© Daytours4u 2018. All rights reserved"
"to join our Newsletter","to join our Newsletter"
"Invite a friend","Invite a friend"
"Thanks %customer_name for your order","Thanks %customer_name for your order"
"Your order","Your order"
"Your order <a href=""%account_url"" style=""font-weight: 600;"">#%increment_id</a> has been created","Your order <a href=""%account_url"" style=""font-weight: 600;"">#%increment_id</a> has been created"
"Your Purchased","Your Purchased"
"You may also like","You may also like"
"I want my code","I want my code"
"Thank you for your subscription.","Thank Thank you for subscribing! we'll send you an e-mail with your discount code."
"Hello %firstName %lastName","Hello %firstName %lastName"
"Items in your shopping bag","Items in your shopping bag"
"You're welcome to discover South America with Daytours4u. Find and book any experience in Daytours4u by <a style=""color:#acaeb0 !important;"" href=""%account_url"">Login</a> in our website with your e-mail and password.","You're welcome to discover South America with Daytours4u. Find and book any experience in Daytours4u by <a style=""color:#acaeb0 !important;"" href=""%account_url"">Login</a> in our website with your e-mail and password."
"Complete your order now","Complete your order now"
"Need assistance with this order?","Need assistance with this order?"
"Call us or chat with us","Call us or chat with us"
"Optional","Optional"
"You already have an account with us. Sign in or continue as guest.","You already have an account with us. Sign in or continue as guest."
"Forgot Your Password?","Forgot Your Password?"
"You can create an account after checkout.","You can create an account after checkout."
"Email Address","Email Address"
"We'll send your order confirmation here.","We'll send your order confirmation here."
"Invalid login or password.","Invalid login or password."
"A letter with further instructions will be sent to your email.","A letter with further instructions will be sent to your email."
"Thank you for your order from %store_name.","Thank you for your order from %store_name."
"Create account on Daytours4u","Create account on Daytours4u"
"Your information was updated successfully.","Your information was updated successfully."
"Order edited successfully.","Order edited successfully."
"The order %1 was completed, you can not edit the information again.",""
"Notes","Notes"
"Meeting point","Meeting point"
"Meeting hour","Meeting hour"
"Provider phone","Provider phone"
"Date are not available. Please check again","Date are not available. Please check again.",,
"Payment in selected local currency","Payment in selected local currency",,
"Click on this button if the page is not being redirected","Click on this button if the page is not being redirected",,
"My Cart","My Tours",,